Keyword, LabeledPairs, LabeledProducts, FoundProducts, FoundPairs, TrainingPairs, TestPairs, photos, feedbackPercentage, memberSoldCount, soldCount, memberSegment, subtitleFlag, brandNew, freeCargo, windowOptionFlag, TrainingAccuracy, TestAccuracy
besiktas, 41756, 962, 469, 4708, 3822, 886, -0.31866995889971139, 0.17335523788997492, -0.44043834903102669, 0.74275171537215323, 0.039120539976471504, -0.015305681463262531, 0.23483290932540535, 0.46152169750454503, -0.30903478083694719, 78.49293563579278, 80.9255079006772
kol_saati, 8672, 828, 472, 2136, 1697, 439, -0.46316882764937622, 0.60318240425468306, -0.19822138628468766, 0.68718989450022272, 0.0020078651457969211, 0.29768187181137018, 0.0, 0.57574778705487872, -0.35366203036832966, 68.41484973482616, 66.74259681093395
iphone_7, 24618, 567, 177, 3978, 3180, 798, 0.40032009193324974, -0.015873338269064421, -1.0863986597344535, -0.49897179578573364, -0.27658848247888679, 0.77336442759642388, 0.0, 0.27921312391058767, -0.081766942394133596, 75.66037735849056, 76.19047619047619
iphone_7_kilif, 86154, 1250, 561, 9816, 8833, 983, -0.39506800370350148, -0.24500847063180614, 0.15628210523582003, 0.56192093275607524, 0.58794579626383847, 0.20767205997715696, 0.0, 0.045728883231591431, 0.064920802487905535, 77.16517604437904, 79.65412004069177
stres_carki, 492702, 3550, 1484, 52196, 46958, 5238, 0.080077724751063117, 0.19531733794620407, 0.54389504886075712, 0.1286551939636906, 0.20552645960062663, -0.2848877921451079, 0.018887186824724938, 0.30723179182545279, -0.14771143915996046, 61.927680054516806, 62.56204658266514
nike_air_max, 142834, 1854, 526, 5346, 4250, 1096, -0.25526217134076973, -0.59678916705969876, 0.45150813710078125, 0.43887106146279359, 0.30194244816513144, -0.27771051182348527, -0.18795580219654795, 0.10301930964652631, 0.010601505136142135, 69.95294117647059, 70.89416058394161
tupperware, 166666, 4753, 3011, 32508, 29366, 3142, 0.29629997363894478, 0.013725771681880645, 0.066115933720297684, 0.05913686381243527, 0.35371600954780757, -0.33317210207207137, 0.13410305273358225, -0.35045763313882816, -0.033302751035508317, 62.74262752843424, 64.035646085296
buzdolabi, 67170, 1154, 687, 27050, 24473, 2577, -0.28545608949496287, -0.87376269260879691, 0.12340609188930909, 1.2278507527499058, -0.022521507801116985, 0.032085394476843922, -0.042766387786172595, 0.014371202840636607, -0.33775588370499121, 84.48494258979284, 83.7407838571983
vestel_camasir_makinesi, 5792, 53, 33, 1918, 1528, 390, -1.4269650130845761, -0.43874321997381205, -0.61422443797017967, 1.637295260456332, -0.031483594207536027, 0.095429573351583571, 0.0, 0.0, 0.65344455136724411, 95.48429319371728, 95.38461538461539
samsung_galaxy_j7_prime, 49338, 234, 90, 5938, 4765, 1173, -0.68325211674787822, -0.26643235928438186, -0.23884334509556457, -0.35260391373524735, -0.21110332936235593, 0.33359568810018736, 0.0, 0.22547765259298497, -0.15130065045921864, 68.3105981112277, 67.17817561807331
samsung, 26934, 468, 197, 11156, 10010, 1146, -0.38485929162258431, -0.80678370056900173, 0.81146252552653675, 0.25317515279120395, -0.074398982574590961, -0.054734513868038043, -0.096366293691400026, -0.86804191587344226, -0.3660625941169639, 81.91808191808192, 80.80279232111693
dikey_elektrikli_supurge, 14684, 193, 77, 766, 621, 145, -1.0175617970270503, 0.038779367013953674, 0.42406003651072643, 0.23153231199306148, 0.39897071206186924, 0.10969664988219596, 0.35066453446411278, 0.067470558211391501, -1.0918370425929385, 95.81320450885669, 94.48275862068965
jbl_hoparlor, 1712, 230, 108, 206, 158, 48, -0.7475139170341768, 1.024820511338173, -1.1942040579274122, -0.89134322096176644, -0.29497212896068259, 0.26536636002153074, 0.0, 0.1112649524010236, -0.57991197995231059, 89.24050632911393, 85.41666666666667
bisiklet, 92000, 2116, 1265, 42798, 38528, 4270, 0.051071724718873661, -0.67959878788741823, 0.12881338673201342, 0.60053902238132217, -0.066199083129553499, 0.031298884374940841, 0.068526854815339433, -0.095415246310613155, -0.58609777392063578, 76.05897009966777, 76.88524590163935
lenovo_k6_note, 8982, 146, 86, 562, 450, 112, 1.1821359785780581, 0.66951295897875673, -0.6599024431834789, 0.10139843177280597, -0.10948178626640702, -0.63796598735586874, 0.56610719877833826, -0.69093981551258732, -0.71597982764178136, 65.77777777777777, 62.5
sandalye_kilifi, 98412, 505, 122, 8450, 7578, 872, 0.035226641216667701, -0.21617833698545508, 0.63753216482570874, 0.1844693287126733, 0.60934794594157971, -0.1910009246683218, 0.0, -1.1434633908891905, -0.062217581928785667, 77.83056215360253, 78.09633027522936
xiaomi, 56784, 235, 119, 13826, 12440, 1386, 0.33776710772182139, -0.11764889506530676, 0.93492576305661257, -0.51166064544885026, 0.083667526281502341, 0.46803418789732731, 0.0, -0.63250979089127202, -0.57278869398673715, 75.97266881028939, 75.75757575757575
